TableName	Actflag	Created	Changed	BochgID	RelEventID	SecID	ISIN	EffectiveDate	OldOutValue	NewOutValue	EventType	OldOutDate	NewOutDate	Notes
BOCHG	I	2012/01/18	2012/01/18	471409		1503596	JP1050751898	2008/09/23	1900000.00000	2086460.00000	CORR	2008/09/22	2008/09/22	
BOCHG	I	2012/01/18	2012/01/18	471410		1503596	JP1050751898	2010/06/30	2086460.00000	1994900.00000	CORR	2008/09/22	2010/06/30	
BOCHG	I	2013/09/20	2013/09/20	800211	1214071	1503596	JP1050751898	2013/09/20	1994900.00000		REDEM	2010/06/30	2013/09/20	
BOCHG	D	2010/09/28	2012/01/18	302601		1198960	JP10507618A2	2010/06/30	1900000.00000	2118200.00000	CORR	2008/10/21	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471414		1198960	JP10507618A2	2008/10/22	1900000.00000	2082949.00000	CORR	2008/10/21	2008/10/21	
BOCHG	I	2012/01/18	2012/01/18	471415		1198960	JP10507618A2	2010/06/30	2082949.00000	2118200.00000	CORR	2008/10/21	2010/06/30	
BOCHG	I	2013/09/20	2013/09/20	800195	1214055	1198960	JP10507618A2	2013/09/20	2118200.00000		REDEM	2010/06/30	2013/09/20	
BOCHG	D	2009/07/15	2012/01/18	164266		1236633	JP10507718B8	2008/11/15	1722500.00000	1900000.00000	CORR	2008/11/14	2008/11/14	
BOCHG	D	2010/09/28	2012/01/18	302602		1236633	JP10507718B8	2010/06/30	1900000.00000	2103900.00000	CORR	2008/11/14	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471416		1236633	JP10507718B8	2008/11/15	1722500.00000	2086137.00000	CORR	2008/11/14	2008/11/14	
BOCHG	I	2012/01/18	2012/01/18	471417		1236633	JP10507718B8	2010/06/30	2086137.00000	2103900.00000	CORR	2008/11/14	2010/06/30	
BOCHG	I	2013/09/20	2013/09/20	800199	1214059	1236633	JP10507718B8	2013/09/20	2103900.00000		REDEM	2010/06/30	2013/09/20	
BOCHG	U	2011/01/14	2011/01/14	335745		1503589	JP10507818C4	2008/12/23	1900000.00000	1899632.00000	CORR	2008/12/22	2008/12/22	
BOCHG	I	2013/12/20	2013/12/20	846825	1269125	1503589	JP10507818C4	2013/12/20	1899632.00000		REDEM	2008/12/22	2013/12/20	
BOCHG	U	2011/01/14	2011/01/14	335749		1936666	JP1050791910	2009/01/20	20000.00000	2292434.00000	CORR	2009/01/19	2009/01/19	
BOCHG	I	2013/11/28	2013/11/28	834829		1936666	JP1050791910	2013/10/31	2292434.00000	2312300.00000	CORR	2009/01/19	2013/10/31	
BOCHG	I	2013/12/20	2013/12/20	846887	1269192	1936666	JP1050791910	2013/12/20	2312300.00000		REDEM	2013/10/31	2013/12/20	
BOCHG	D	2010/09/28	2012/01/18	302603		1330463	JP1050801925	2010/06/30	1811800.00000	2015200.00000	CORR	2009/02/16	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471418		1330463	JP1050801925	2009/02/17	1811800.00000	1999452.00000	CORR	2009/02/16	2009/02/16	
BOCHG	I	2012/01/18	2012/01/18	471419		1330463	JP1050801925	2010/06/30	1999452.00000	2015200.00000	CORR	2009/02/16	2010/06/30	
BOCHG	I	2013/12/20	2013/12/20	846800	1269099	1330463	JP1050801925	2013/12/20	2015200.00000		REDEM	2010/06/30	2013/12/20	
BOCHG	D	2009/04/10	2012/01/18	138699		1361394	JP1050811932	2009/04/01	1810000.00000	2000000.00000	CORR	2009/03/23	2009/03/23	
